id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
92893,93186,175606,,,,,18.980924,-51.465689,921.469,18.59,-160.68,164.6,9.790,2.535,sdG2,0.449,44.698821,-170.213670,-220.971577,0.00000754,0.00007151,-0.00026876,4.969194295610053,-0.8982457322379338,0.00000009012686321527777,-0.000000778998621,,,,1,92893,,8.433347577642751,,,
93846,94141,178524,7264,,41Pi  Sgr,Albaldah,19.162731,-21.023615,509.688,-1.17,-36.83,-10.0,2.880,-3.089,F2II/III,0.377,43.714239,-139.143552,-56.055078,-0.00000671,0.00001839,-0.00002237,5.016791345367199,-0.3669312993726825,-0.0000000056723200625,-0.000000178556878,Pi,41,Sgr,1,93846,,1498.3042106226599,,,
95992,96295,184738,,,,Campbell's Hydrogen Star,19.579231,30.516371,326200,-4.16,-10.19,-30.4,10.000,-10.000,WC...,-0.013,34611.284098,-78889.844899,50778.453408,-0.00084972,-0.00308271,-0.00427137,5.12583076552782,0.5326111517280024,-0.00000002016824911111111,-0.000000049402514,,,Cyg,1,95992,,870963.5899560815,V1966,10.048,9.938
96970,97278,186791,7525,,50Gam Aql,Tarazed,19.770994,10.613261,394.915,15.72,-3.08,-2.0,2.720,-2.695,K3II,1.507,53.215608,-106.431852,22.297682,0.00000750,0.00000563,-0.00000215,5.1760341858612176,0.18523635134271627,0.00000007621271058333333,-0.000000014932261,Gam,50,Aql,1,96970,,1042.3174293933046,,,
97333,97644,186484,,,,,19.845412,-71.771457,326200,0.46,-5.44,68.0,10.740,-9.260,Md,1.500,14531.537892,-27700.607335,-94981.634443,-0.00095604,0.00230246,-0.00089098,5.19551663351375,-1.25264823577131,0.000000002230142930555556,-0.000000026373864,,,Pav,1,97333,,440554.86350655346,T,12.154,7.764
98445,98757,188136,,,,,20.058817,-78.830751,620.152,2.17,-7.82,0.0,8.010,1.615,Fm delta Del,0.541,18.902195,-31.605455,-186.513198,-0.00000191,0.00000709,-0.00000140,5.2513859210539975,-1.3758561617337537,0.000000010520456868055556,-0.000000037912429,,,Oct,1,98445,,19.67886289706844,CC,8.042,7.972
98673,98989,,,,,,20.095644,4.047994,386.951,-133.27,-171.24,0.0,10.460,5.089,sdF8:,0.510,61.711139,-100.961708,8.373913,-0.00006176,-0.00004590,-0.00009823,5.26102721852707,0.0706508287942225,-0.0000006461111920763888,-0.000000830194946,,,,1,98673,,0.8024167763085841,,,
100128,100453,194093,7796,,37Gam Cyg,Sadr,20.370473,40.256679,1832.58,2.43,-0.93,-8.0,2.230,-6.518,F8Ib,0.673,249.318228,-348.795593,363.040966,0.00000270,0.00000760,-0.00000722,5.332977255083509,0.7026115975482887,0.000000011780972437500002,-0.000000004508767,Gam,37,Cyg,1,100128,,35253.318119588555,,,
101445,101772,196171,7869,Gl 794.1,Alp Ind,,20.626116,-47.291502,98.3418,49.20,66.07,-1.3,3.110,0.714,K0III,0.998,12.976855,-15.802893,-22.152943,0.00000949,-0.00000022,0.00000753,5.399904590122895,-0.8253924132315175,0.00000023852833083333334,0.000000320316398,Alp,,Ind,1,101445,,45.12321133443373,,,
101446,101773,195961,7859,,Rho Pav,,20.626465,-61.529918,189.651,59.15,-71.70,8.0,4.860,1.038,Fm delta Del,0.447,17.590562,-21.417286,-51.108529,0.00000408,0.00002129,-0.00001683,5.399995919213806,-1.07389966359982,0.0000002867672920486111,-0.000000347611408,Rho,,Pav,1,101446,,33.48112173860538,Rho,4.874,4.844
101950,102281,197461,7928,,11Del Del,,20.724315,15.074581,223.272,-19.61,-41.74,9.0,4.430,0.253,A7IIIp d Del,0.302,43.241717,-49.981753,17.801271,0.00000325,-0.00001370,-0.00001098,5.4256129921203256,0.2631010673392375,-0.00000009507196275694444,-0.00000020236123,Del,11,Del,1,101950,,68.99220098440475,Del,4.456,4.386
102002,102333,197157,7920,NN 4158,Eta Ind,,20.733966,-51.920971,78.8494,155.49,-53.64,-1.6,4.510,2.593,A6:var,0.278,9.782490,-11.249611,-19.027319,0.00000984,0.00001645,-0.00000259,5.428139582071928,-0.9061918914730075,0.0000007538367918958334,-0.000000260054058,Eta,,Ind,1,102002,,7.99466002520316,,,
102459,102790,198048,7952,,Zet Ind,,20.824709,-46.226826,412.911,37.85,27.28,-5.0,4.900,-0.612,K5III,1.494,59.015725,-64.696943,-91.403048,0.00002292,0.00000934,0.00001527,5.451895977642308,-0.806810317749745,0.00000018350197809027777,0.000000132257172,Zet,,Ind,1,102459,,153.03825321774377,,,
102531,102862,198245,,,,,20.839603,-40.608471,202.987,-75.09,-448.95,-9.2,8.940,4.970,sdK0,0.628,31.973146,-34.777856,-40.503179,-0.00008117,0.00005482,-0.00009669,5.455795340592314,-0.7087515159964075,-0.0000003640465927291667,-0.000002176571018,,,,1,102531,,0.8953647655495938,,,
102619,102950,198308,7968,,Iot Ind,,20.858347,-51.608179,466.667,-0.24,-4.95,21.0,5.060,-0.718,K1II/III,1.125,60.451460,-65.109997,-112.129193,0.00000712,-0.00000792,-0.00001897,5.460702510818913,-0.9007326419849238,-0.0000000011635528333333331,-0.000000023998277,Iot,,Ind,1,102619,,168.73298906258032,,,
102882,103215,198827,,,,,20.911439,-45.730706,1744.39,-24.52,-7.89,0.0,9.490,0.849,F5/F6V,0.493,257.757903,-269.996398,-382.923523,-0.00005609,-0.00003330,-0.00001428,5.474601990832248,-0.7981513967032412,-0.00000011887631447222223,-0.000000038251799,,,Ind,1,102882,,39.847400971777496,SU,9.959,9.449
102895,103227,198700,7986,,Bet Ind,,20.913498,-58.454155,612.008,21.06,-24.75,-5.0,3.670,-2.696,K0III,1.250,67.818551,-70.961830,-159.891518,-0.00000126,0.00002904,-0.00000742,5.47514089939041,-1.0202174619246187,0.000000102101761125,-0.000000119991385,Bet,,Ind,1,102895,,1043.277881459965,,,
103750,104085,200365,8055,,Mu  Ind,,21.087290,-54.727042,365.695,16.51,-37.55,12.0,5.170,-0.078,K2III,1.201,46.811563,-44.719450,-91.525879,-0.00000072,0.00001310,-0.00002180,5.5206395203739635,-0.9551670649159487,0.00000008004273865972223,-0.000000182047537,Mu,,Ind,1,103750,,93.58365435835302,,,
104087,104424,201110,,,,,21.153394,-46.767921,3166.99,2.10,0.47,0.0,8.070,-1.866,M4/M5III,1.530,488.729111,-450.971737,-707.364322,0.00000789,0.00000617,0.00000152,5.537945707084514,-0.81625419806204,0.000000010181087291666668,0.000000002278624,,,Ind,1,104087,,485.73567328785396,AK,8.192,7.972
104276,104613,201484,,,,,21.191645,-45.074550,2077.71,-71.47,-83.42,202.5,10.190,1.169,F0V,0.281,333.608021,-301.706763,-450.973424,-0.00017481,-0.00013945,-0.00032853,5.547959576157047,-0.786699312776255,-0.0000003464963374930556,-0.000000404431572,,,Ind,1,104276,,29.675633580735287,V,10.386,9.286
104297,104634,201707,8102,,,,21.194816,-14.472378,409.285,38.52,0.10,-39.0,6.470,0.977,Fm delta Del,0.316,90.173336,-81.414303,-31.356650,-0.00001295,0.00004326,0.00001003,5.548789808064511,-0.2525906397578862,0.00000018675022975000001,0.000000000484813,,,Aqr,1,104297,,35.41604004264617,EW,6.504,6.444
104861,105199,203280,8162,Gl 826,5Alp Cep,Alderamin,21.309630,62.585573,49.0527,149.91,48.27,-11.5,2.450,1.564,A7IV-V,0.257,5.276111,-4.483201,13.348778,0.00000057,0.00001386,-0.00000882,5.578848152361649,1.0923243046711761,0.0000007267841885208333,0.000000234019563,Alp,5,Cep,1,104861,,20.62528697846573,,,
